ID;ID Fournisseur;NAME;DESCRIPTION;PRICE;QUANTITY;;;;;;
143589;2;MC890NT Conga Set;"-Set de congas 10""+11""
-En bois
-Finition: Vernis
-Couleur: Naturel/ambre
-2 supports simples incl.
-Housses Millenium optionnelles non-fournies
";199.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/143589.jpg;11;MUSICBOULEVARD;Congas;3;Percussions
145479;2;ROLAND A-49;"-49 touches de taille standard, sensibles à la vélocité
-Léger et compact
-Facile à utiliser
-2 commandes, 2 boutons et un contrôleur D-Beam
-Alimentation via USB
-Livré avec le logiciel ""Cakewalk SONAR LE""
-Finitions blanc nacré et noire";149.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/145479.jpg;25;MUSICBOULEVARD;Claviers;2;Claviers
150649;5;RIMINI 4/4;"-Table : Épicéa
-Fond, éclisses, manche et tête : Érable
-Touche : Ébène
-Chevilles : Ébène
-Cordier : Ébène
-Verni à la main
-Livré en étui avec archet et colophane";149.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/150649.jpg;48;Harrison;Violons;5;Cordes
156059;1;EAGLESTONE SOLEA;"-Modèle : 3/4
-Table d'harmonie : Cèdre
-Dos et éclisses : Acajou
-Manche : Nato
-Sillet de tête : Plastique
-Binding : Beige multi-plis
-Touche et Chevalet : Sonokeling
-Mecaniques : Chromées
-Cordes : D'Addario EJ45 Pro Arte
-Finition : Noire";85.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/156059;20;WOODBRASS;Guitares classiques;1;Guitares
158197;1;LAG OCCITANIA 66;"-Table : Epicéa Sitka
-Dos & Eclisses : Acajou
-Filets : Noir & Ivoire
-Corps et Manche : Acajou / Finition vernis brillant
-Tige de réglage : Double sens
-Touche - Tête - Chevalet: Palissandre d'Indonésie
-Mécaniques : Noir satiné
-Cordes : D'Addar";159.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/158197.jpg;20;WOODBRASS;Guitares classiques;1;Guitares
158777;4;Salvi Titan Lever Harp;"-Cordes en boyau/soie
-Hauteur : 150 cm
-Largeur: 78 cm
-Poids: 12,5 kg
-Tessiture: Do première octave à La sixième octave
-Livrée avec housse de thomann protection et clé d'accordage
-Couleur: acajou";4789.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/158777.jpg;47;Van Halen;Harpes;5;Cordes
158841;2;SL 990 PRO FATAR;"-Clavier maître toucher lourd gradué 88 notes TP40GH
-4 courbes de vélocité
-Molettes pitch et modulation
-1x port sustain
-1x entrée breath controller
-1x MIDI Out
-Dimensions : 132,8 x 34,9 x 12,5 cm, poids 20 kg";369.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/158841;25;MUSICBOULEVARD;Claviers;2;Claviers
159151;4;YSL610;"-Coulisse extérieur cuivre jaune
-Coulisse interne en maillechort
-Pavillon cuivre jaune
-Qualité sonoreRiche, chaude et ample
-Grande souplesse et confort de jeu
-Homogénéité et équilibre
-Finition : verni";1679.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/159151.jpg;43;Van Halen;Trombones;4;Vents
163082;4;Thomann Leather Maracas;"-Peau naturelle
-Manches en bois
-Longueur: 300 mm
-Diamètre: 90 mm";29.90;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/163082.jpg;13;Van Halen;Maracas;3;Percussions
164992;3;DARK HIGHWAY;"-FA# aigu
-Garde sur la clé FA# côté
-Support de pouce en métal
-Tampons cuir, résonateurs métal
-Finition noire
-Livré en étui sac à dos, poche partitions, poche accessoires
-Avec bec, Ligature et couvre-bec, stick de graisse
-Cordon rembourré ";699.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/164992.jpg;42;Berry;Saxophones;4;Vents
164993;3;VINTAGE HIGHWAY;"-FA# aigu
-Garde sur la clé FA# côté
-Support de pouce en métal
-Tampons cuir, résonateurs métal
-Finition Vintage
-Livré en étui sac à dos, poche partitions, poche accessoires
-Avec bec, Ligature et couvre-bec, stick de graisse
-Cordon rembourr�";649.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/164993.jpg;42;Berry;Saxophones;4;Vents
166187;1;EAGLESTONE LEONA;"-Table : Épicéa
-Manche : Erable
-Dos et éclisses : Acajou
-Touche et Chevalet : Palissandre
-Sillet manche et Chevalet : Os
-Diapason : 864 mm
-Préampli : Fishman ISY-301
-Finition : Naturelle";199.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/166187.jpg;19;WOODBRASS;Basses;1;Guitares
173197;2;BIRD DS102 BK;"-Fûts en tilleul 6 plis
-Cerclages et hardware noirs
-Set d'accessoires complet
-Composition : -1 Tom 12"" x 9"" -1 Tom 13"" x 10"" -1 Tom basse 16"" x 16"" -1 caisse claire 14"" x 5.5"" -1 Grosse caisse 22"" x 16""
-Accessoires : -1 Pied de cymbale droit -1 Péda";199.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/173197;7;MUSICBOULEVARD;Batteries acoustiques;3;Percussions
182835;1;KALA U-BASS;"-Corps et Manche en Acajou
-Touche et Chevalet en Palissandre
-16 Frettes Nickel/ArgentDiapason 21"" (533,4mm)
-Mécaniques Hipshot noires
-Sillets GraphTech Black Tusq
-Finition naturelle – vernis satiné
-Filets noirs sur la table et le fond
-Cordes KA";408.29;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/182835.jpg;18;WOODBRASS;Basses;1;Guitares
186715;3;BALSERO BK;"-Fûts 6.5"" & 7.5"" en bouleau sélectionné
-Cerclages traditionnels
-Clé de réglage
-Finition laquée noire
";44.60;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/186715.jpg;10;Berry;Bongos;3;Percussions
188088;2;FULLPACK CELVIANO AP-260BK;"-Source Sonore Multi Dimensionnelle AiR
-88 touches dynamiques toucher ivoire et ébène
-Clavier avec mécanique de marteaux naturels à 3 capteurs II
-Fonction Concert Play
-Effet Damper Resonance (Pédale Forte)
-18 sonorités améliorées";879.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/188088;26;MUSICBOULEVARD;Pianos;2;Claviers
191321;3;Eagle II 5-string;"Manche en érable/acajou
Touche ébène
Anneau de tonalité Deering 22 trous
Corps 3 pièces en érable thomann catégorie violon
Cordier True Tone Deering
Cercle de tension Deering en laiton
24 crochets ronds
Chevalet en érable/ébène";1279.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/191321.jpg;19;Berry;Banjos;1;Guitares
196243;5;SILVER DREAM;"- Sib
- Finition argentée
- Pistons vernis
- Perce : 11,60 mm
- Pavillon 120 mm
- Piston Monel
- Livrée en étui solide et compact avec une embouchure";249.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/196243.jpg;45;Harrison;Trompettes;5;Cordes
210239;2;CELVIANO GP-500;"-Layer - Split - Mode duo
-Fonction de transposition
-Décalage d’octave
-256 notes en polyphonie (max.)
-Résonance pédale forte
-Simulateur de couvercle (Lid-Simulation)
-Chorus (effet numérique)
-Fonction d'enregistrement audio
-Port USB mémoire f";3999.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/210239;26;MUSICBOULEVARD;Pianos;2;Claviers
213248;1;NOVA III 96;"-Qualité du jeu de plaque : Standard
-Nombre de boutons : 72 sur 5 rangées
-Nombres de notes : 44 (la plus basse : Mi bémol, la plus haute : Si bémol)
-Gamme : Chromatique
-Tonalité de couleur : 5
-Nombre de registres : 5
-Basses traditionnelles : 96";2039.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/213248.jpg;39;WOODBRASS;Accordéons;4;Vents
216423;1;X MONARKH SCX7;"-Corps acajou
-Manche érable 1 pièce avec renfort en graphite
-Radius compensé 12"" à 16""
-Frettes 22 jumbo
-Sillet 1.875"" (47.6 mm)
-Mécaniques Jackson bain d'huile à blocage
-Diapason 24.75 (628 mm)
-Chevalet jackson
-Micros Seymour Duncan Nazgu?l ";465.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/216423.jpg;21;WOODBRASS;Guitares électriques;1;Guitares
240899;3;TROMPE DE CHASSE EN RE;"-Ré Laiton 4/10ème résistant, enroulement 3 tours 1/2 (diamètre 35cm). 
-Branche d'embouchure étirée conique et fixe. 
-Pavillon noirci 27cm. 
-En étui";247.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/240899;44;Berry;Trompes;4;Vents
257312;4;Studio 49 TI 3;"-Fabriqué à la main
-En acier
-Epaisseur: 10 - 14mm
-Diamètre: 20cm
-Batte TS 04 incl.";69.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/257312.jpg;37;Van Halen;Triangles;3;Percussions
814941;4;SET VIOLONCELLE VC5S34;"-Type : Stradivarius, 3/4
-Table : Epicéa
-Manche, Dos et éclisses : Erable
-Touche en ébène
-Chevalet : Yamaha Original
-Cheville : Palissandre
-Cordier : Wittner'Ultra'
-Cordes : D'Addario Prelude
-Livré avec archet (bois du Brésil), étui et colo";1099.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/814941.jpg;49;Van Halen;Violoncelles;5;Cordes
833472;5;Solist Panpipes Alto;"-Tonalité: Sol majeur
-Tessiture: Sol1 - Do3
-18 tuyaux en érable
-Forme incurvée
-Fabriquée à la main";69.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/833472.jpg;41;Harrison;Flûtes de pan;4;Vents
897316;5;"Buffalo Drum 14""x3,5""";"-Dimensions: 14"" x 3,5""
-Traverses en cordes croisées
-Cadre en acousticon
-Maillet incl.";44.00;100;http://dl.bienvu.net/thomasl/assets/ressources/produit/897316.jpg;34;Harrison;Tambours;3;Percussions
